fold,model,threshold,micro_f1,macro_f1,weighted_f1,hamming_loss,label_ranking_average_precision
1,label_frequency_baseline,0.05,0.23690205011389523,0.21246479317337183,0.2596511127977229,0.7910271546635183,0.40375367777965154
1,tfidf_logistic_regression,0.45,0.719626168224299,0.6217132830036056,0.69584213416352,0.07083825265643448,0.798734796949083
1,tfidf_linear_svm,0.45,0.7136150234741784,0.6168964984380806,0.6923027771761902,0.07201889020070838,0.8055431401210623
1,quantum_inspired_projection,0.9500000000000001,0.6082474226804123,0.558365590079145,0.6071486516073046,0.089728453364817,0.7955601937744796
1,quantum_contrastive_projection,0.6000000000000001,0.6367713004484304,0.5799056351951027,0.6437105984171912,0.09563164108618655,0.7910744738666817
1,hybrid_quantum_svm_fusion,0.45,0.6978723404255319,0.6278255235905745,0.6942385204121798,0.08382526564344746,0.8122015610651977
1,sentence_bert_logistic_regression,0.6000000000000001,0.6868686868686869,0.6414260650223218,0.6858240048803773,0.07319952774498228,0.8295871516650738
2,label_frequency_baseline,0.05,0.23583815028901733,0.21088860443743498,0.2637821589552796,0.7906698564593302,0.4136553504974557
2,tfidf_logistic_regression,0.5,0.7362637362637363,0.6201765461152813,0.6999840963039721,0.05741626794258373,0.8368478013214858
2,tfidf_linear_svm,0.45,0.7336683417085427,0.6421840970805124,0.7099967615259969,0.06339712918660287,0.8459852282220706
2,quantum_inspired_projection,0.55,0.5776173285198556,0.5247622756243445,0.5744721033403948,0.13995215311004786,0.8280132148553203
2,quantum_contrastive_projection,0.6500000000000001,0.6847826086956522,0.6035457387730115,0.6753759247806868,0.06937799043062201,0.8256457906128961
2,hybrid_quantum_svm_fusion,0.5,0.7301587301587301,0.6163951002883808,0.69821907561038,0.061004784688995214,0.8444976076555024
2,sentence_bert_logistic_regression,0.5,0.6666666666666666,0.6352234520123083,0.6726168531928901,0.09210526315789473,0.8330936242120454
3,label_frequency_baseline,0.05,0.22996515679442509,0.20508932654923162,0.26282498024596407,0.7930622009569378,0.3948108908635224
3,tfidf_logistic_regression,0.5,0.6347305389221557,0.5769836196793842,0.6199597894351565,0.0729665071770335,0.8028143274853804
3,tfidf_linear_svm,0.45,0.6701570680628273,0.609947964493419,0.6553755375537553,0.07535885167464115,0.8117955874534822
3,quantum_inspired_projection,0.8500000000000001,0.6030150753768844,0.5856023155729901,0.5983028256742724,0.09449760765550239,0.7798297827903092
3,quantum_contrastive_projection,0.6500000000000001,0.6145251396648045,0.5809239636219109,0.6000784055718582,0.08253588516746412,0.7699670577960053
3,hybrid_quantum_svm_fusion,0.5,0.6781609195402298,0.6145203980463598,0.6625634669728833,0.06698564593301436,0.8153748481051114
3,sentence_bert_logistic_regression,0.55,0.6700507614213198,0.6379462180048692,0.6727478419589565,0.07775119617224881,0.8612573099415206
4,label_frequency_baseline,0.05,0.23174971031286212,0.2071335120459272,0.26054741679228005,0.7930622009569378,0.42051625275309484
4,tfidf_logistic_regression,0.45,0.6601941747572816,0.5735983661062031,0.6462046984745344,0.08373205741626795,0.7780215216070483
4,tfidf_linear_svm,0.45,0.6358974358974359,0.550560282629248,0.6247183828335486,0.08492822966507177,0.7804938482570064
4,quantum_inspired_projection,0.8500000000000001,0.6037735849056604,0.5377226615671223,0.6037582686444064,0.10047846889952153,0.7593363142705251
4,quantum_contrastive_projection,0.6500000000000001,0.5681818181818182,0.49935064935064927,0.5612806287563569,0.09090909090909091,0.7572104187235769
4,hybrid_quantum_svm_fusion,0.5,0.6404494382022472,0.547616068142384,0.6203194506056029,0.07655502392344497,0.7851404078377765
4,sentence_bert_logistic_regression,0.6000000000000001,0.6051282051282051,0.5344609413574931,0.6013191473184777,0.09210526315789473,0.80347791828055
5,label_frequency_baseline,0.05,0.22943221320973348,0.2059894356046429,0.25041584305357795,0.7954545454545454,0.3967228677754992
5,tfidf_logistic_regression,0.45,0.6425339366515838,0.5960940550492124,0.6330773829007956,0.09449760765550239,0.7785018891926789
5,tfidf_linear_svm,0.45,0.6571428571428571,0.6049425695990349,0.642610469032084,0.0861244019138756,0.7843681172628544
5,quantum_inspired_projection,0.7000000000000001,0.5726141078838174,0.5384810391469009,0.5842953088633898,0.12320574162679426,0.7521751822738667
5,quantum_contrastive_projection,0.6500000000000001,0.5684210526315789,0.5370326643053915,0.565880721220527,0.09808612440191387,0.743796992481203
5,hybrid_quantum_svm_fusion,0.5,0.6229508196721312,0.5934251606978879,0.6157497303128371,0.08253588516746412,0.7804364130022029
5,sentence_bert_logistic_regression,0.45,0.6176470588235294,0.6114937520286898,0.6305475571288719,0.12440191387559808,0.8529396407685883
